Make,DriveTrain,EngineSize,Cylinders,Horsepower,MPG,Weight,Wheelbase,Length
Acura,All,3.5,6,265,17,4451,106,189
Acura,Front,2,4,200,24,2778,101,172
Acura,Front,2.4,4,200,22,3230,105,183
Acura,Front,3.2,6,270,20,3575,108,186
Acura,Front,3.5,6,225,18,3880,115,197
Acura,Front,3.5,6,225,18,3893,115,197
Acura,Rear,3.2,6,290,17,3153,100,174
Audi,Front,1.8,4,170,22,3252,104,179
Audi,Front,1.8,4,170,23,3638,105,180
Audi,Front,3,6,220,20,3462,104,179
Audi,All,3,6,220,17,3583,104,179
Audi,All,3,6,220,18,3627,104,179
Audi,Front,3,6,220,20,3561,109,192
Audi,All,3,6,220,18,3880,109,192
Audi,Front,3,6,220,20,3814,105,180
Audi,All,3,6,220,18,4013,105,180
Audi,All,2.7,6,250,18,3836,109,192
Audi,All,4.2,8,300,17,4024,109,193
Audi,All,4.2,8,330,17,4399,121,204
Audi,All,4.2,8,340,14,3825,104,179
Audi,Front,4.2,8,450,15,4024,109,191
Audi,Front,1.8,4,180,20,3131,95,159
Audi,All,1.8,4,225,20,2921,96,159
Audi,All,3.2,6,250,21,3351,96,159
Audi,All,3,6,220,18,4035,109,192
Audi,All,4.2,8,340,15,3936,104,179
BMW,All,3,6,225,16,4023,110,180
BMW,All,4.4,8,325,16,4824,111,184
BMW,Rear,2.5,6,184,20,3219,107,176
BMW,Rear,2.5,6,184,20,3197,107,177
BMW,Rear,2.5,6,184,19,3560,107,177
BMW,All,2.5,6,184,19,3461,107,176
BMW,Rear,3,6,225,20,3285,107,176
BMW,Rear,3,6,225,20,3285,107,176
BMW,All,3,6,225,20,3483,107,176
BMW,Rear,2.5,6,184,19,3428,114,191
BMW,Rear,3,6,225,19,3616,107,177
BMW,Rear,3,6,225,20,3472,114,191
BMW,Rear,4.4,8,325,18,3814,114,191
BMW,Rear,4.4,8,325,18,4376,118,198
BMW,Rear,4.4,8,325,18,4464,123,204
BMW,Rear,3.2,6,333,16,3415,108,177
BMW,Rear,3.2,6,333,16,3781,108,177
BMW,Rear,2.5,6,184,20,2932,98,161
BMW,Rear,3,6,225,21,2998,98,161
BMW,All,2.5,6,184,19,3594,107,176
Buick,All,4.2,6,275,15,4600,113,193
Buick,Front,3.4,6,185,19,4024,112,187
Buick,Front,3.1,6,175,20,3353,109,195
Buick,Front,3.8,6,205,20,3567,112,200
Buick,Front,3.8,6,200,20,3461,109,196
Buick,Front,3.8,6,240,18,3536,109,196
Buick,Front,3.8,6,205,20,3591,112,200
Buick,Front,3.8,6,205,20,3778,114,207
Buick,Front,3.8,6,240,18,3909,114,207
Cadillac,Front,5.3,8,295,14,5367,116,199
Cadillac,Front,4.6,8,320,16,4302,116,195
Cadillac,Rear,3.6,6,255,18,3694,113,190
Cadillac,Front,4.6,8,275,18,3984,115,207
Cadillac,Front,4.6,8,300,18,4044,115,207
Cadillac,Front,4.6,8,275,18,3992,112,201
Cadillac,Rear,4.6,8,320,17,3647,106,178
Cadillac,All,6,8,345,13,5879,130,221
Chevrolet,Front,5.3,8,295,14,4947,130,219
Chevrolet,All,5.3,8,295,14,5050,116,197
Chevrolet,Front,4.2,6,275,16,4425,113,192
Chevrolet,Front,2.5,6,165,19,2866,98,163
Chevrolet,Front,1.6,4,103,28,2370,98,167
Chevrolet,Front,1.6,4,103,28,2348,98,153
Chevrolet,Front,2.2,4,140,26,2617,104,183
Chevrolet,Front,2.2,4,140,26,2676,104,183
Chevrolet,Front,2.2,4,140,26,2617,104,183
Chevrolet,Front,3.4,6,180,21,3465,111,200
Chevrolet,Front,2.2,4,145,24,3174,106,188
Chevrolet,Front,3.5,6,200,22,3297,106,188
Chevrolet,Front,3.4,6,180,21,3340,111,198
Chevrolet,Front,3.8,6,200,20,3476,111,200
Chevrolet,Front,3.8,6,240,18,3606,111,200
Chevrolet,Front,3.5,6,200,23,3315,106,188
Chevrolet,Front,3.8,6,200,18,3434,111,198
Chevrolet,All,4.3,6,190,14,4605,111,190
Chevrolet,Front,3.4,6,185,19,3699,112,187
Chevrolet,Rear,5.7,8,350,18,3246,105,180
Chevrolet,Rear,5.7,8,350,18,3248,105,180
Chevrolet,All,5.3,8,295,14,5678,130,222
Chevrolet,All,2.8,4,175,18,3623,111,192
Chevrolet,Rear,4.3,6,200,15,4142,119,206
Chevrolet,All,6,8,300,13,4804,144,238
Chevrolet,Rear,5.3,8,300,16,4760,116,191
Chevrolet,Front,3.5,6,200,22,3458,112,188
Chrysler,Front,2.4,4,150,22,3101,103,169
Chrysler,Front,2.4,4,150,22,3105,103,169
Chrysler,Front,2.4,4,150,22,3173,108,191
Chrysler,Front,2.7,6,200,21,3222,108,191
Chrysler,Front,3.5,6,250,18,3581,113,198
Chrysler,Front,2.7,6,200,21,3479,113,208
Chrysler,Front,3.5,6,232,19,3548,113,208
Chrysler,Front,2.4,4,220,21,3217,103,169
Chrysler,Front,2.4,4,150,22,3357,106,194
Chrysler,Front,3.5,6,255,18,3650,113,198
Chrysler,Front,2.7,6,200,21,3448,106,194
Chrysler,Front,3.3,6,180,19,4068,119,201
Chrysler,Front,3.8,6,215,18,4331,119,201
Chrysler,Rear,3.2,6,215,17,3060,95,160
Chrysler,Rear,3.5,6,250,17,4675,116,199
Dodge,All,4.7,8,230,15,4987,119,201
Dodge,Front,2,4,132,29,2581,105,174
Dodge,Front,2,4,132,29,2626,105,174
Dodge,Front,2.7,6,200,21,3469,113,204
Dodge,Front,2.4,4,150,21,3182,108,191
Dodge,Front,2.4,4,150,21,3175,108,191
Dodge,Front,3.5,6,232,18,3487,113,204
Dodge,Front,2.4,4,150,20,3862,113,189
Dodge,All,3.8,6,215,18,4440,119,201
Dodge,Rear,8.3,10,500,12,3410,99,176
Dodge,Rear,3.7,6,210,16,3714,112,193
Dodge,Rear,3.7,6,210,16,3829,131,219
Dodge,Rear,3.7,6,215,16,4542,121,208
Ford,All,6.8,10,310,10,7190,137,227
Ford,Front,4.6,8,232,15,5000,119,206
Ford,All,4,6,210,15,4463,114,190
Ford,All,3,6,201,18,3346,103,173
Ford,Front,2,4,130,26,2612,103,168
Ford,Front,2,4,110,27,2606,103,168
Ford,Front,2,4,130,26,2606,103,168
Ford,Front,2,4,130,26,2691,103,168
Ford,Front,2,4,170,21,2750,103,168
Ford,Front,3,6,155,20,3306,109,198
Ford,Front,3,6,201,19,3313,109,198
Ford,Rear,4.6,8,224,17,4057,115,212
Ford,Rear,4.6,8,224,17,4057,115,212
Ford,Rear,4.6,8,239,17,4057,115,212
Ford,Front,3.9,6,193,17,4275,121,201
Ford,Rear,3.8,6,193,20,3290,101,183
Ford,Rear,4.6,8,260,17,3347,101,183
Ford,Front,3.9,8,280,17,3780,107,186
Ford,Rear,4.6,8,231,15,4788,126,211
Ford,All,5.4,8,300,14,5464,133,218
Ford,Rear,2.3,4,143,24,3028,111,188
Ford,Front,2,4,130,26,2702,103,178
Ford,Front,3,6,155,19,3497,109,198
GMC,Front,4.2,6,275,15,4945,129,208
GMC,Front,4.8,8,285,16,5042,116,199
GMC,All,6,8,325,13,6133,130,219
GMC,Rear,4.3,6,190,16,4309,111,190
GMC,Rear,2.8,4,175,18,3351,111,192
GMC,Rear,4.8,8,285,17,4548,144,230
GMC,All,6,8,300,13,5440,133,222
GMC,All,4.3,6,190,15,4083,123,208
Honda,Front,1.4,4,93,46,2732,103,175
Honda,Front,2,3,73,60,1850,95,155
Honda,All,3.5,6,240,17,4387,106,188
Honda,All,2.4,4,160,21,3258,103,179
Honda,All,2.4,4,160,21,3468,101,167
Honda,Front,1.7,4,115,32,2432,103,175
Honda,Front,1.7,4,117,36,2500,103,175
Honda,Front,1.7,4,115,32,2513,103,175
Honda,Front,2.4,4,160,26,2994,105,188
Honda,Front,2.4,4,160,26,3047,105,188
Honda,Front,1.7,4,127,32,2601,103,175
Honda,Front,2,4,160,26,2782,101,166
Honda,Front,3,6,240,21,3349,108,190
Honda,Front,3,6,240,21,3294,105,188
Honda,Front,3.5,6,240,18,4310,118,201
Honda,Front,3.5,6,240,18,4365,118,201
Honda,Rear,2.2,4,240,20,2835,95,162
Hummer,All,6,8,316,10,6400,123,190
Hyundai,Front,2.7,6,173,20,3549,103,177
Hyundai,Front,1.6,4,103,29,2255,96,167
Hyundai,Front,1.6,4,103,29,2290,96,167
Hyundai,Front,1.6,4,103,29,2339,96,167
Hyundai,Front,2,4,138,26,2635,103,178
Hyundai,Front,2,4,138,26,2635,103,178
Hyundai,Front,2,4,138,26,2698,103,178
Hyundai,Front,2.7,6,170,19,3217,106,187
Hyundai,Front,2.7,6,170,19,3217,106,187
Hyundai,Front,3.5,6,194,17,3651,108,192
Hyundai,Front,3.5,6,194,17,3651,108,192
Hyundai,Front,2.7,6,172,19,3023,100,173
Infiniti,Rear,3.5,6,260,18,3336,112,187
Infiniti,Rear,3.5,6,280,18,3416,112,182
Infiniti,All,3.5,6,260,18,3677,112,187
Infiniti,Front,3.5,6,255,19,3306,108,194
Infiniti,Rear,4.5,8,340,17,3851,110,197
Infiniti,Rear,4.5,8,340,17,3977,113,200
Infiniti,Rear,3.5,6,280,16,4056,112,189
Infiniti,All,4.5,8,315,15,4309,112,189
Isuzu,All,4.2,6,275,15,4967,129,208
Isuzu,Front,3.2,6,193,17,3836,106,178
Jaguar,All,2.5,6,192,18,3428,107,184
Jaguar,All,3,6,227,18,3516,107,184
Jaguar,Rear,3,6,235,18,3777,115,192
Jaguar,Rear,4.2,8,294,18,3874,115,192
Jaguar,Rear,4.2,8,390,17,4046,115,192
Jaguar,Rear,4.2,8,294,18,3803,119,200
Jaguar,Rear,4.2,8,294,18,3803,119,200
Jaguar,Rear,4.2,8,390,17,3948,119,200
Jaguar,Rear,4.2,8,294,18,3779,102,187
Jaguar,Rear,4.2,8,294,18,3980,102,187
Jaguar,Rear,4.2,8,390,16,3865,102,187
Jaguar,Rear,4.2,8,390,16,4042,102,187
Jeep,Front,4,6,195,16,3790,106,181
Jeep,All,2.4,4,150,20,3826,104,174
Jeep,All,4,6,190,16,3575,93,150
Kia,Front,3.5,6,192,16,4112,107,180
Kia,Front,2.4,4,138,23,3281,106,186
Kia,Front,1.6,4,104,26,2403,95,167
Kia,Front,1.6,4,104,25,2458,95,167
Kia,Front,1.8,4,124,24,2661,101,178
Kia,Front,1.8,4,124,24,2686,101,178
Kia,Front,1.8,4,124,24,2697,101,178
Kia,Front,2.7,6,170,20,3279,106,186
Kia,Front,3.5,6,195,17,4021,110,196
Kia,Front,3.5,6,195,16,4802,115,194
Kia,Front,1.6,4,104,26,2447,95,167
Land Rover,All,4.4,8,282,12,5379,113,195
Land Rover,All,4.6,8,217,12,4576,100,185
Land Rover,All,2.5,6,174,18,3577,101,175
Lexus,All,4.7,8,235,15,4740,110,188
Lexus,All,4.7,8,235,13,5590,112,193
Lexus,All,3.3,6,230,18,4065,107,186
Lexus,Front,3.3,6,225,20,3460,107,191
Lexus,Rear,3,6,215,18,3255,105,177
Lexus,Rear,3,6,215,18,3285,105,177
Lexus,Rear,3,6,220,18,3649,110,189
Lexus,Rear,4.3,8,300,18,3715,110,189
Lexus,Rear,4.3,8,290,18,3990,115,197
Lexus,Rear,4.3,8,300,18,3840,103,178
Lexus,Rear,3,6,215,18,3410,105,177
Lincoln,All,5.4,8,300,13,5969,119,206
Lincoln,Front,4.6,8,302,13,4834,114,193
Lincoln,Rear,3,6,232,20,3681,115,194
Lincoln,Rear,3,6,232,20,3681,115,194
Lincoln,Rear,3.9,8,280,17,3768,115,194
Lincoln,Rear,3.9,8,280,17,3768,115,194
Lincoln,Rear,4.6,8,239,17,4369,118,215
Lincoln,Rear,4.6,8,239,17,4369,118,215
Lincoln,Rear,4.6,8,239,17,4474,124,221
MINI,Front,1.6,4,115,28,2524,97,143
MINI,Front,1.6,4,163,25,2678,97,144
Mazda,All,2,4,130,22,3091,103,173
Mazda,Front,2,4,148,26,2696,104,178
Mazda,Front,2.3,4,160,25,2762,104,179
Mazda,Front,2.3,4,160,24,3042,105,187
Mazda,Front,3,6,200,18,3812,112,188
Mazda,Rear,1.8,4,142,23,2387,89,156
Mazda,Rear,1.8,4,142,23,2387,89,156
Mazda,Rear,1.3,,197,18,3053,106,174
Mazda,Rear,1.3,,238,18,3029,106,174
Mazda,Rear,2.3,4,143,24,2960,112,188
Mazda,All,4,6,207,15,3571,126,203
Mercedes-Benz,All,5,8,292,13,5423,112,186
Mercedes-Benz,All,5,8,288,14,4874,111,183
Mercedes-Benz,Rear,1.8,4,189,22,3250,107,178
Mercedes-Benz,Rear,3.2,6,215,19,3430,107,178
Mercedes-Benz,Rear,2.6,6,168,20,3360,107,178
Mercedes-Benz,All,2.6,6,168,19,3360,107,178
Mercedes-Benz,Rear,3.2,6,215,19,3430,107,178
Mercedes-Benz,Rear,3.2,6,215,20,3450,107,178
Mercedes-Benz,All,3.2,6,215,19,3450,107,178
Mercedes-Benz,Rear,3.2,6,349,16,3540,107,178
Mercedes-Benz,Rear,5,8,302,16,4085,114,196
Mercedes-Benz,Rear,5.5,12,493,13,4473,114,196
Mercedes-Benz,Rear,3.2,6,215,20,3770,107,183
Mercedes-Benz,Rear,5,8,302,17,3585,107,183
Mercedes-Benz,Rear,3.2,6,221,19,3635,112,190
Mercedes-Benz,Rear,5,8,302,16,3815,112,190
Mercedes-Benz,Rear,4.3,8,275,18,4160,122,203
Mercedes-Benz,All,5,8,302,16,4390,122,203
Mercedes-Benz,Rear,5,8,302,16,4065,101,179
Mercedes-Benz,Rear,5.5,8,493,14,4235,101,179
Mercedes-Benz,Rear,5.5,12,493,13,4429,101,179
Mercedes-Benz,Rear,2.3,4,192,21,3055,95,158
Mercedes-Benz,Rear,3.2,6,349,17,3220,95,158
Mercedes-Benz,Rear,2.6,6,168,19,3470,107,179
Mercedes-Benz,Rear,3.2,6,221,19,3966,112,190
Mercedes-Benz,All,5,8,302,16,4230,112,190
Mercury,Front,4,6,210,16,4374,114,190
Mercury,Front,3,6,155,20,3308,109,200
Mercury,Rear,4.6,8,224,17,4052,115,212
Mercury,Rear,4.6,8,224,17,4052,115,212
Mercury,Front,3,6,201,19,3315,109,200
Mercury,Rear,4.6,8,224,17,4052,115,212
Mercury,Rear,4.6,8,302,17,4195,115,212
Mercury,Front,4.2,6,201,16,4340,121,202
Mercury,Front,3,6,155,19,3488,109,198
Mitsubishi,All,3.8,6,215,17,4134,109,190
Mitsubishi,All,3.8,6,215,15,4718,110,190
Mitsubishi,Front,2.4,4,160,21,3240,103,179
Mitsubishi,Front,2,4,120,25,2656,102,181
Mitsubishi,Front,2,4,120,25,2795,102,181
Mitsubishi,Front,2.4,4,160,23,3351,108,191
Mitsubishi,Front,2,4,120,25,2744,102,181
Mitsubishi,Front,3.5,6,205,18,3549,107,194
Mitsubishi,Front,3.8,6,230,18,3649,108,191
Mitsubishi,Front,3,6,210,21,3241,101,177
Mitsubishi,Front,3,6,210,21,3296,101,177
Mitsubishi,Front,2,4,271,18,3263,103,179
Mitsubishi,Front,2.4,4,160,25,3020,102,181
Nissan,Front,5.6,8,305,13,5013,123,207
Nissan,Front,3.5,6,240,16,3871,106,183
Nissan,Front,3.3,6,180,17,3760,104,178
Nissan,Front,1.8,4,126,28,2513,100,178
Nissan,Front,1.8,4,126,28,2581,100,178
Nissan,Front,2.5,4,175,21,3039,110,192
Nissan,Front,2.5,4,165,23,2761,100,178
Nissan,Front,3.5,6,245,21,3197,110,192
Nissan,Front,3.5,6,265,20,3473,111,194
Nissan,Front,3.5,6,265,20,3476,111,194
Nissan,Front,3.5,6,240,19,4012,124,204
Nissan,Front,3.5,6,240,18,4175,124,204
Nissan,Rear,3.5,6,287,20,3188,104,169
Nissan,Rear,3.5,6,287,20,3428,104,169
Nissan,All,3.3,6,180,17,3932,116,191
Nissan,All,5.6,8,305,14,5287,140,224
Nissan,Rear,3.5,6,245,20,3801,111,188
Oldsmobile,Front,2.2,4,140,24,2946,107,187
Oldsmobile,Front,3.4,6,170,20,3085,107,187
Oldsmobile,Front,3.4,6,185,19,3948,120,201
Pontiac,Front,3.4,6,185,19,3779,108,182
Pontiac,Front,2.2,4,140,24,2771,104,182
Pontiac,Front,3.4,6,175,20,3118,107,186
Pontiac,Front,3.8,6,200,20,3477,111,198
Pontiac,Front,2.2,4,140,24,2771,104,182
Pontiac,Front,3.8,6,200,20,3484,111,198
Pontiac,Front,4.6,8,275,17,3790,112,203
Pontiac,Front,3.4,6,185,19,3803,112,187
Pontiac,All,3.4,6,185,18,4431,121,201
Pontiac,Rear,5.7,8,340,16,3725,110,190
Pontiac,Rear,1.8,4,130,29,2701,102,172
Porsche,All,4.5,8,340,14,4950,112,188
Porsche,Rear,3.6,6,315,18,3135,93,175
Porsche,All,3.6,6,315,17,3240,93,175
Porsche,Rear,3.6,6,315,18,3119,93,175
Porsche,Rear,3.6,6,477,17,3131,93,175
Porsche,Rear,2.7,6,228,20,2811,95,170
Porsche,Rear,3.2,6,258,18,2911,95,170
Saab,Front,2,4,210,20,3175,105,183
Saab,Front,2,4,210,20,3175,105,183
Saab,Front,2.3,4,220,21,3470,106,190
Saab,Front,2.3,4,250,21,3470,106,190
Saab,Front,2,4,210,21,3480,105,182
Saab,Front,2,4,210,21,3700,105,182
Saab,Front,2.3,4,250,19,3620,106,190
Saturn,All,2.2,4,143,21,3381,107,181
Saturn,Front,2.2,4,140,26,2692,103,185
Saturn,Front,2.2,4,140,26,2692,103,185
Saturn,Front,2.2,4,140,26,2692,103,185
Saturn,Front,2.2,4,140,26,2751,103,185
Saturn,Front,2.2,4,140,26,2751,103,185
Saturn,Front,3,6,182,20,3197,107,190
Saturn,Front,2.2,4,140,24,3109,107,190
Scion,Front,1.5,4,108,32,2340,93,154
Scion,Front,1.5,4,108,31,2425,98,155
Subaru,All,2.5,4,165,22,2965,99,174
Subaru,All,2.5,4,165,21,3285,104,184
Subaru,All,2.5,4,165,21,3395,104,184
Subaru,All,2.5,4,165,20,3495,104,184
Subaru,All,3,6,212,19,3610,104,184
Subaru,All,3,6,212,19,3630,104,184
Subaru,All,2,4,227,20,3085,99,174
Subaru,All,2.5,4,300,18,3263,100,174
Subaru,All,2.5,4,165,21,3485,104,193
Subaru,All,2.5,4,165,21,3090,99,175
Subaru,All,2.5,4,165,21,3430,104,187
Suzuki,Front,2.7,6,185,18,3682,110,187
Suzuki,All,2.5,6,165,19,3020,98,163
Suzuki,Front,2.3,4,155,25,2676,98,171
Suzuki,Front,2.3,4,155,25,2676,98,171
Suzuki,Front,2,4,119,24,2701,102,177
Suzuki,Front,2,4,119,22,2756,102,177
Suzuki,Front,2.5,6,155,20,3380,106,188
Suzuki,All,2.3,4,155,24,2932,98,167
Toyota,Front,1.5,4,110,59,2890,106,175
Toyota,All,4.7,8,240,14,5270,118,204
Toyota,Front,4,6,245,18,4035,110,189
Toyota,All,3.3,6,230,18,3935,107,185
Toyota,All,4.7,8,325,13,5390,112,193
Toyota,All,2.4,4,161,22,3119,98,167
Toyota,Front,1.8,4,130,32,2502,102,178
Toyota,Front,1.8,4,130,32,2524,102,178
Toyota,Front,1.8,4,130,32,2524,102,178
Toyota,Front,1.5,4,108,35,2035,93,163
Toyota,Front,1.5,4,108,33,2085,93,163
Toyota,Front,1.5,4,108,35,2055,93,163
Toyota,Front,2.4,4,157,24,3086,107,189
Toyota,Front,3,6,210,21,3296,107,189
Toyota,Front,2.4,4,157,24,3175,107,193
Toyota,Front,3.3,6,225,20,3417,107,193
Toyota,Front,3,6,210,21,3417,107,192
Toyota,Front,3,6,210,21,3362,107,189
Toyota,Front,3.3,6,225,20,3439,107,193
Toyota,Front,3,6,210,21,3439,107,192
Toyota,Front,3.3,6,230,19,4120,119,200
Toyota,Front,3.3,6,230,19,4165,119,200
Toyota,Front,1.8,4,180,24,2500,102,171
Toyota,Rear,1.8,4,138,26,2195,97,153
Toyota,Rear,2.4,4,142,22,2750,103,191
Toyota,Rear,3.4,6,190,16,3925,128,218
Toyota,All,3.4,6,190,14,4435,128,218
Toyota,Front,1.8,4,130,29,2679,102,171
Volkswagen,All,3.2,6,220,15,5086,112,187
Volkswagen,Front,2,4,115,24,2897,99,165
Volkswagen,Front,1.8,4,180,24,2934,99,168
Volkswagen,Front,1.9,4,100,38,3003,99,172
Volkswagen,Front,1.8,4,150,24,2820,99,161
Volkswagen,Front,2.8,6,200,21,3179,99,172
Volkswagen,Front,2,4,115,24,3082,99,161
Volkswagen,Front,1.8,4,170,22,3241,106,185
Volkswagen,Front,2.8,6,190,19,3721,106,185
Volkswagen,Front,4,8,270,18,3953,106,185
Volkswagen,Front,4.2,8,335,16,5194,118,204
Volkswagen,Front,6,12,420,12,5399,118,204
Volkswagen,Front,2,4,115,24,3034,99,174
Volkswagen,Front,1.8,4,170,22,3338,106,184
Volkswagen,Front,4,8,270,18,4067,106,184
Volvo,All,2.9,6,268,15,4638,113,189
Volvo,Front,1.9,4,170,22,2767,101,178
Volvo,All,2.5,5,208,20,3903,107,180
Volvo,Front,2.3,5,247,20,3766,107,180
Volvo,All,2.5,5,300,18,3571,107,181
Volvo,Front,2.9,6,208,20,3576,110,190
Volvo,All,2.5,5,194,20,3691,110,190
Volvo,Front,2.4,5,197,21,3450,105,186
Volvo,Front,2.3,5,242,20,3450,105,186
Volvo,Front,2.9,6,268,19,3653,110,190
Volvo,Front,1.9,4,170,22,2822,101,180
Volvo,All,2.5,5,208,20,3823,109,186
